plant,month,t_mean,hdd_15,hdd_18,cdd_18,cdd_22,ah_mean,ldd
AZ,2022-01,12.08,90.7,183.5,0.0,0.0,4.015,0.0
AZ,2022-02,13.009,69.5,139.8,0.0,0.0,2.862,0.0
AZ,2022-03,17.464,19.3,54.5,37.8,7.6,2.992,0.0
AZ,2022-04,23.352,0.0,2.3,162.9,61.7,2.858,0.0
AZ,2022-05,28.073,0.0,0.0,312.3,188.3,3.017,0.0
AZ,2022-06,33.471,0.0,0.0,464.1,344.1,6.283,2.7
AZ,2022-07,34.28,0.0,0.0,504.7,380.7,10.455,50.1
AZ,2022-08,31.763,0.0,0.0,426.6,302.6,13.389,107.5
AZ,2022-09,31.194,0.0,0.0,395.8,275.8,9.944,35.7
AZ,2022-10,23.239,0.0,4.2,166.6,77.9,6.558,1.2
AZ,2022-11,14.149,44.8,118.5,3.0,0.0,3.683,0.0
AZ,2022-12,11.129,121.6,213.0,0.0,0.0,5.215,0.2
AZ,2023-01,9.98,155.7,248.6,0.0,0.0,4.661,0.0
AZ,2023-02,11.926,89.8,170.1,0.0,0.0,3.672,0.0
AZ,2023-03,14.426,44.7,113.3,2.5,0.0,4.966,0.0
AZ,2023-04,22.037,5.1,16.3,137.4,54.6,2.868,0.0
AZ,2023-05,27.096,0.0,0.0,282.0,159.9,4.299,0.0
AZ,2023-06,30.297,0.0,0.0,368.9,248.9,3.313,0.0
AZ,2023-07,37.176,0.0,0.0,594.5,470.5,7.603,2.4
AZ,2023-08,33.913,0.0,0.0,493.3,369.3,10.499,42.6
AZ,2023-09,30.491,0.0,0.0,374.7,254.7,6.985,18.5
AZ,2023-10,25.567,0.0,0.2,234.8,120.8,4.922,0.0
AZ,2023-11,18.42,4.2,36.1,48.8,6.9,4.77,2.3
AZ,2023-12,12.553,82.0,168.9,0.0,0.0,4.575,0.0
AZ,2024-01,10.696,136.0,226.4,0.0,0.0,4.568,0.0
AZ,2024-02,13.206,71.2,139.6,0.5,0.0,5.292,0.0
AZ,2024-03,15.384,22.7,87.9,6.8,0.0,4.967,0.0
AZ,2024-04,20.396,11.2,30.3,102.1,33.7,3.969,0.0
AZ,2024-05,26.809,0.0,0.0,273.1,149.8,3.071,0.0
AZ,2024-06,33.855,0.0,0.0,475.6,355.6,6.372,13.3
AZ,2024-07,35.958,0.0,0.0,556.7,432.7,9.855,22.4
AZ,2024-08,34.433,0.0,0.0,509.4,385.4,10.006,27.6
AZ,2024-09,32.462,0.0,0.0,433.9,313.9,6.231,0.7
AZ,2024-10,26.687,0.0,7.2,276.5,174.2,4.15,0.0
AZ,2024-11,15.238,25.1,84.0,1.2,0.0,2.984,0.0
AZ,2024-12,14.568,33.3,107.3,0.9,0.0,2.593,0.0
AZ,2025-01,10.724,133.1,225.6,0.0,0.0,2.05,0.0
AZ,2025-02,16.72,9.6,47.3,11.5,0.0,2.843,0.0
AZ,2025-03,16.874,29.1,78.2,43.2,12.1,3.955,0.0
AZ,2025-04,21.788,2.5,16.3,130.0,49.5,3.135,0.0
AZ,2025-05,27.028,0.0,0.3,280.2,165.5,3.409,0.0
AZ,2025-06,32.747,0.0,0.0,442.4,322.4,4.947,4.6
AZ,2025-07,34.468,0.0,0.0,510.5,386.5,8.052,15.1
AZ,2025-08,35.436,0.0,0.0,540.5,416.5,8.481,7.5
AZ,2025-09,30.405,0.0,0.0,372.2,252.2,10.07,31.5
AZ,2025-10,22.855,0.0,0.0,150.5,50.7,7.572,17.6
AZ,2025-11,17.636,16.0,55.1,44.2,1.2,5.892,0.0
