plant,mm,t_mean,hdd_15,hdd_18,cdd_18,cdd_22,ah_mean,ldd
OC,01,-2.026,527.82,620.82,0.0,0.0,2.114,0.0
OC,02,0.322,413.42,498.02,0.0,0.0,2.574,0.0
OC,03,6.775,256.0,348.0,0.04,0.0,3.881,0.0
OC,04,13.41,70.9,142.0,4.32,0.0,5.66,0.06
OC,05,18.128,11.86,39.4,43.38,3.68,7.818,8.86
OC,06,23.164,0.0,0.24,155.16,49.04,11.881,68.3
OC,07,26.325,0.0,0.0,254.66,132.26,17.268,222.1
OC,08,26.3,0.0,0.0,257.325,136.725,17.524,233.45
OC,09,22.253,0.0,2.275,129.875,41.275,13.503,109.325
OC,10,14.41,52.05,121.975,10.7,0.325,8.116,12.525
OC,11,7.138,240.175,326.2,0.325,0.0,4.8,0.95
OC,12,-0.915,493.375,586.375,0.0,0.0,2.582,0.0
OC_EP1,01,-2.723,549.4,642.4,0.0,0.0,1.847,0.0
OC_EP1,02,1.597,375.3,459.3,0.0,0.0,2.854,0.0
OC_EP1,03,6.979,248.6,341.6,0.0,0.0,3.995,0.0
OC_EP1,04,13.781,61.3,128.7,2.2,0.0,5.464,0.0
OC_EP1,05,19.176,5.9,26.8,63.3,11.0,8.509,14.1
OC_EP1,06,23.328,0.0,0.0,159.8,49.7,11.694,58.1
OC_EP1,07,26.612,0.0,0.0,249.7,133.7,18.154,236.5
OC_EP1,08,,,,,,,
OC_EP1,09,,,,,,,
OC_EP1,10,,,,,,,
OC_EP1,11,,,,,,,
OC_EP1,12,,,,,,,
OC_EP2,01,-2.736,549.8,642.8,0.0,0.0,1.836,0.0
OC_EP2,02,1.642,374.0,458.0,0.0,0.0,2.854,0.0
OC_EP2,03,7.054,246.3,339.3,0.0,0.0,3.992,0.0
OC_EP2,04,13.726,61.7,130.5,2.3,0.0,5.491,0.0
OC_EP2,05,19.223,6.0,26.8,64.7,12.3,8.471,14.6
OC_EP2,06,23.332,0.0,0.0,160.0,50.1,11.642,57.2
OC_EP2,07,26.611,0.0,0.0,249.7,133.7,18.216,238.3
OC_EP2,08,,,,,,,
OC_EP2,09,,,,,,,
OC_EP2,10,,,,,,,
OC_EP2,11,,,,,,,
OC_EP2,12,,,,,,,
OC_RD_DJ,01,-2.047,528.4,621.4,0.0,0.0,1.958,0.0
OC_RD_DJ,02,1.932,365.9,449.9,0.0,0.0,2.9,0.0
OC_RD_DJ,03,7.375,236.4,329.4,0.0,0.0,4.066,0.0
OC_RD_DJ,04,13.883,57.4,125.1,1.6,0.0,5.641,0.0
OC_RD_DJ,05,19.247,5.7,26.6,65.2,12.1,8.612,15.2
OC_RD_DJ,06,23.362,0.0,0.0,160.8,49.2,11.595,56.8
OC_RD_DJ,07,26.68,0.0,0.0,251.7,135.7,18.153,236.4
OC_RD_DJ,08,,,,,,,
OC_RD_DJ,09,,,,,,,
OC_RD_DJ,10,,,,,,,
OC_RD_DJ,11,,,,,,,
OC_RD_DJ,12,,,,,,,
OC_RD_MG,01,-4.154,593.8,686.8,0.0,0.0,1.576,0.0
OC_RD_MG,02,0.684,400.8,484.8,0.0,0.0,2.768,0.0
OC_RD_MG,03,5.852,283.6,376.6,0.0,0.0,4.063,0.0
OC_RD_MG,04,12.825,76.2,155.2,0.0,0.0,5.891,0.0
OC_RD_MG,05,17.786,9.3,47.4,40.7,1.8,9.328,18.7
OC_RD_MG,06,22.539,0.0,0.0,136.2,34.1,12.36,72.3
OC_RD_MG,07,25.642,0.0,0.0,221.6,105.6,18.391,243.3
OC_RD_MG,08,,,,,,,
OC_RD_MG,09,,,,,,,
OC_RD_MG,10,,,,,,,
OC_RD_MG,11,,,,,,,
OC_RD_MG,12,,,,,,,
OC_RD_GC,01,-3.591,576.3,669.3,0.0,0.0,1.636,0.0
OC_RD_GC,02,1.118,388.7,472.7,0.0,0.0,2.783,0.0
OC_RD_GC,03,5.926,281.3,374.3,0.0,0.0,3.992,0.0
OC_RD_GC,04,12.9,75.5,153.0,0.0,0.0,5.655,0.0
OC_RD_GC,05,17.899,8.8,43.8,40.6,2.0,9.015,15.9
OC_RD_GC,06,22.448,0.0,0.0,133.4,31.5,12.028,63.7
OC_RD_GC,07,25.882,0.0,0.0,228.6,112.6,18.327,241.5
OC_RD_GC,08,,,,,,,
